Type de knowledge,Contenu du knowledge,Nom des urls (pour les urls)
pdf,https://assets.meero.com/legal-page/en/meero-websites-privacy-policy.pdf,
pdf,https://assets.meero.com/legal-page/en/legal-notice.pdf,
url (txt extracted column B),"Can I pause my subscription?
It is currently not possible to pause your subscription. We understand activity might vary over the year, so don't worry, we got you!Unused property will be carried automatically to the next month! So periods of low activity will balance busier times.",https://help.propershot.com/can-i-pause-my-subscription
url (txt extracted column B),"How can I download my pictures from ProperShot.com?
Once login to your account on app.propershot.com, you'll have access to your Library section, where you'll be able to see your albums.You can then tick the albums you would like to download by putting your mouse tracker on the desired album. You'll then see a white box in the upper-right corner of the album's cover. Click here to select the album. You can then choose to download the albums with or whitout watermarks. To know more about the watermark feature, please see or related article. You can also download pictures from an album. Once in it, you can click on the download button in the upper-right corner to download the entire album. You can also tick the desire pictures and download only these.",https://help.propershot.com/how-can-i-download-my-pictures-from-propershot.com
url (txt extracted column B),"How can I download my pictures from the ProperShot app?
Once your images have been edited, open the album, click on the sharing icon in the upper right-hand corner. You’ll then be able to select the photos you would like to share. Once the photos are selected, click on the “Share all my photos” button at the bottom of the screen, where you will have the options to download your photos to your phone or share them via other applications.",https://help.propershot.com/how-can-i-download-my-pictures-from-the-propershot-app
url (txt extracted column B),"How can I edit my pictures?
If you would like to crop your pictures, fine-tune it, annotate or frame it.
We added a few editing options in the editor view! To open the editor view, in the Library section, while browsing your media, click on “Edit picture”. You can also click on the “Edit picture” button in any media's view. On the left side, you'll have access to different sections, including Crop, Finetune, Annotate and Frame

Crop
The “Crop” section will let you resize your picture freely by moving the corners. You can also choose a pre-defined crop shape to fit your favorite social media platforms.

Finetune
In the “Finetune” section, you can change the brightness, the contrast, the saturation, the exposure, and the temperature of your picture. Simply select which one you would like to modify and play with the dimmer to see immediate changes.

Annotate
In the “annotate” section, you'll be able to add some text and banner (such as “sold”) on your picture.

Frame
In the “Frame” section you can decide to add a frame, its shape, size and color.",https://help.propershot.com/how-can-i-edit-my-pictures
url (txt extracted column B),"""How do I access the wide-angle lens?
If your phone has a wide-angle lens, you should see a 0.5 zoom factor option. Click on it to activate the wide-angle feature within the app. On Android, if you have the HDR option activated, you will not be able to access any zoom factor option besides 1x. If you are using Android, it is possible (due to system limitations) that your device does not let our application access the wide-angle function of your camera. If you believe this is the case, feel free to contact us and let us know the details of which phone model and OS version you use. Rest assured that our developers are working hard to solve this issue, and we will get back to you as soon as we will have this fixed.""",https://help.propershot.com/how-do-i-access-the-wide-angle-lens
url (txt extracted column B),"How do I import pictures from my computer?
Once on ProperShot.com, simply login using the same credentials as the one you use on the mobile app. In the Library section, you'll find the button “import your photos” in the upper-right corner. Click on it and select up to 30 pictures to import. Name your album, select the sky replacement you would like, and let the magic happen! If you wish to add more than 30 medias, you'll be able to add additional ones once the album is created. You can only import PNG or JPEG files.",https://help.propershot.com/how-do-i-import-pictures-from-my-computer
url (txt extracted column B),"How is VAT charged?
As a company based in France, we charge:

20% of VAT if you are a company registered in France
0% of VAT if you are a company registered in the European Union (reverse-charge)
0% of VAT if you are a company registered in the European Union (reverse-charge)
0% of VAT if you are a company registered outside the European Union (art 259.1 from the CGI (General Tax Code))
When you first subscribe
Do not forget to mention your VAT number in your billing details to see it on your invoice! If you don't have a VAT number, simply untick “I'm purchasing as a business” in the settings.

Add/remove a VAT or tax number
If you want to update, add or remove any tax number, simply go to the subscription page and click on “manage subscription”. On the new page, click on “Update information” under “Billing Information”. You can then remove or add a Tax ID. Make sure to select the ID type before entering a new one. Updated information will only apply to future invoices. It is forbidden by law to edit a processed invoice.",https://help.propershot.com/how-is-vat-charged
url (txt extracted column B),"How to add pictures to an existing album?
If you would like to add pictures to an existing album, simply enter it and click on the “add more photos” button.",https://help.propershot.com/how-to-add-picture-to-an-existing-album
url (txt extracted column B),"How do I cancel my subscription?
If you want to cancel your subscription, visit ProperShot.com, click on your profile icon and select the “subscription” option. You can then click on “manage subscription”. This will open to another page where you can simply click the button “cancel” to end your subscription with us. If you are on trial phase, and haven't provided any payment method, there is nothing to do! Your trial will end after 14 days and your account will be disabled.",https://help.propershot.com/how-to-cancel
url (txt extracted column B),"How to change my album's name on ProperShot app?
Once you're in your album, simply click on the pencil icon next to your album's name. You can then choose the name you like, type it in, and click save.",https://help.propershot.com/how-to-change-my-albums-name-on-propershot-app
url (txt extracted column B),"How to change the language settings in the app?
By default, your app language should be the same as your device's one. If it's not the case, or if you would like to set up a different language in your app; follow those steps:

open the settings (the little wheel in the top-right corner),
go to “profile”,
change the language in the preference part,
click on “done” to apply the changes. . . Note that our app may not be available in your language yet.",https://help.propershot.com/how-to-change-the-language-settings-in-the-app
url (txt extracted column B),"How to close my ProperShot app and end my session?
Most often, when you are experiencing an issue, the best thing you can do first is to close the app and open it again.If you have an iPhone, click here to see how to close your session. If you have an android, click here.Ending your session regularly and closing the app will help the app run more smoothly the next time you open it.",https://help.propershot.com/how-to-close-my-propershot-app-and-end-my-session
url (txt extracted column B),"How to delete an album or an image on ProperShot App?
If the photos haven't been submitted for editing yet, you will be able to delete the images you no longer want. Do this by selecting the image you want to delete and click on the gray cross in its upper-right corner. After having submitted an album for enhancement, you can delete it by opening the album and clicking on the three dots, then “Delete property”. To delete a picture from an existent album, open the picture you would like to delete, click on the three dots in the upper-right corner, then “delete picture”.",https://help.propershot.com/how-to-delete-an-album-or-an-image-on-propershot-app
url (txt extracted column B),"How to first log in?
Our app is available in both the Apple Store and the Google Play Store.Once downloaded, open the app, click on “Sign up” and follow the steps.",https://help.propershot.com/how-to-first-log-in
url (txt extracted column B),"How to import pictures from my phone gallery?
After starting a new photoshoot, simply click on the gallery icon in the bottom-left corner. You can add up to 30 images at a time. Keep in mind that you can only import JPEG or PNG files.",https://help.propershot.com/how-to-import-pictures-from-my-phone-gallery
url (txt extracted column B),"How to request additional edits?
You aren't happy with the editing applied to your pictures? You forgot to select a sky correction, or you are simply curious to see how your pictures would look with a different enhancement? The easiest way to proceed would be to download the original version of the pictures from the app and import them using the “Add picture from gallery” feature. You can then reprocess them by selecting another sky replacement. You can also reach out to our support team using the “Contact Us” option in the app, or by writing to us at support@propershot.com. Our team will be more than happy to assist you.",https://help.propershot.com/how-to-request-additional-edits
url (txt extracted column B),"How to update your ProperShot app?
It is crucial to make sure you always have the most updated version of our application. This will help ensure that you don't lose pictures or experience bugs. To make sure you always have the most updated version for Android: click here. To make sure you have the most updated version of iOS click here.After updating your app, we recommend logging out and then logging in again, just to make sure everything is updated and operating as it should be.",https://help.propershot.com/how-to-update-your-propershot-app
url (txt extracted column B),"""How to use landscape mode?
To get the best results with our application, you will have to switch from portrait to landscape mode while taking your photos. If the app doesn't seem to adapt to the correct orientation of the movement of your device, you should make sure your screen orientation isn't locked. If it is, you can make the changes on iOS here, and on android here.""",https://help.propershot.com/how-to-use-landscape-mode
url (txt extracted column B),"How to use the Home Staging?
Once on ProperShot.com, simply login using the same credentials as the one you use on the mobile app. The Home Staging is only available on ProperShot.com at the moment. In the Library section, while browsing your media, click on ""Edit picture"" to open the editor view. You can also click on the “Edit picture” button in any media's view. In the editing part, click on the “Home Staging” button in the left bar to access the Home Staging feature. There, you'll be able to select a room type as well as a style, then click on “generate” to apply it to the entire room. You can activate and personalize the Home Staging disclaimer as you prefer. by clicking on “advanced option” you can choose to select specific zones to preserve or replace You can then click on the “save result” button to save, save as a copy, or download your edited image. By “saving” your result, you'll delete the previous image. We recommend you to “save as a copy” if you want to keep the previous media.",https://help.propershot.com/how-to-use-the-home-staging
url (txt extracted column B),"How to use the Magic Eraser?
Once on ProperShot.com, simply login using the same credentials as the one you use on the mobile app. The Magic Eraser is only available on ProperShot.com at the moment. In the Library section, while browsing your media, click on “Edit picture” to open the editor view. You can also click on the “Edit picture” button in any media's view. You can also click on the “Edit” button in any media's view. Once in the editor view, make sure you are on the Magic Eraser part. You can adapt the size of the selection, then color the parts you would like to erase. Don't forget to cover the shadows as well! Click on “Erase” and wait for the magic to happen. Our Magic Eraser uses our AI technology to reconstitute what could be behind the object you would like to erase. It is then possible that an object is created or that the results differ from what you are expecting. In such cases, you can always retry, as the result might differ. You can then click on the “save result” button to save, save as a copy, or download your edited image. By “saving” your result, you'll delete the previous image. We recommend you to “save as a copy” if you want to keep the previous media.",https://help.propershot.com/how-to-use-the-magic-eraser
url (txt extracted column B),"How to use watermarks?
All of our subscription packs provide you with access to the Watermark, as long as you have a Content Manager Subscription. Once on ProperShot.com, simply login using the same credentials as the one you use on the mobile app. To the left side, you'll see a “Watermark” button. Click on it to enter the section. Once there, you can decide to use a watermark for your workspace, make it mandatory or not, choose its position, size, and opacity. You can only import a PNG file of 5 MB or less. We recommend you to select an image of 500 pixels width at least.",https://help.propershot.com/how-to-use-watermarks
url (txt extracted column B),"I work for a partner network, how can I benefit from the negotiated price?
In case you are part of a professional network, we might have negotiated with them a preferred price for you. In such case, you must fill in your details on this page, which will generate the promotion code for you. If your network does no benefit from a negotiated price with us, feel free to contact us at support@propershot.com mentioning whom in your network we could discuss this with! You can also fill in this contact form to get in touch with one of our sales representative!",https://help.propershot.com/i-work-for-a-partner-network-how-can-i-benefit-from-the-negotiated-price
url (txt extracted column B),"What does a “property” refers to?
When we mention properties, we refer to the folders you can create. Each folder (so called, “property”) contains all the media you've taken with the ProperShot app or imported from your phone gallery or computer. See “How to import pictures from my phone gallery?” See “How to import pictures from my computer?” All your properties will include original, enhanced and edited medias (if you used the magic eraser or the home staging for example). See “How to use the Magic Eraser?”See “How to use the Home Staging?” You can see the number of properties left at any moment in your ProperShot mobile app or on your desktop. If you delete a property that contained processed images, you will not be granted an additional property.",https://help.propershot.com/what-does-a-property-refers-to
url (txt extracted column B),"What happens if I don't use all my properties?
Being a real estate agent is not a regular nine to five job, we understand this. Some months might be calmer than others, and you'll probably not have the same number of new properties to sell every month. So you might wonder what will happen if you don't user all the properties you pay for every month? Don't worry, we've got you. Every unused property will be automatically carried on the next month, so calm periods can balance busier ones.",https://help.propershot.com/what-happens-if-i-dont-use-all-my-properties
url (txt extracted column B),"How can I subscribe and update my payment details?
Once on ProperShot.com, click on your profile in the bottom left-corner, then click “My subscription”: You can also click directly on “Subscribe now” if you are in trial period. You'll then be able to chose which plan will best serve your needs. Each plan comes with a certain number of “properties” (or albums) you can create per month. The ""Basic"" plan lets you create 3 new properties per month, the ""Agency"" plan lets you create 7 new properties per month, and the ""Business"" plan lets you create 20 new properties per month. With the Agency and Business plans, you'll be able to have as many users as you want, when the basic one will only let you have one user. Once you'll have selected your plan, you'll be redirected to the payment details where you'll be able to manage and update your payment method as well as your billing address.",https://help.propershot.com/where-can-i-manage-my-billing-details-and-subscription-plan
url (txt extracted column B),"Where can I see my Invoices and change my payment details?
You can find your invoices and update your payment details in your subscription portal. To access it, connect to ProperShot.com, click on your profile in the bottom-left corner and click on “subscription”. Finally, click on “Manage subscription” to open your subscription portal. In your portal, you'll be able to update your payment method, edit your contact and billing information or download your invoices. Invoices issued before June 2024 will only be accessible by the support team. Please email support@propershot.com so that they can send your past invoices.",https://help.propershot.com/where-can-i-see-my-invoices-and-change-my-payment-details
